"","penalty_fn","replicate","Assumption","variable","value"
"190","L2","rep_90","Adjustment penalty","profits",195.156208044321
"191","L2","rep_91","Adjustment penalty","profits",175.996250243097
"192","L2","rep_92","Adjustment penalty","profits",108.028218949634
"193","L2","rep_93","Adjustment penalty","profits",236.687379441127
"194","L2","rep_94","Adjustment penalty","profits",132.558616966067
"195","L2","rep_95","Adjustment penalty","profits",144.481064270003
"196","L2","rep_96","Adjustment penalty","profits",188.708964105613
"197","L2","rep_97","Adjustment penalty","profits",172.91355835934
"198","L2","rep_98","Adjustment penalty","profits",129.210487232201
"199","L2","rep_99","Adjustment penalty","profits",103.055898747444
"200","L2","rep_100","Adjustment penalty","profits",144.187726739509
"201","fixed","rep_1","Adjustment penalty","profits",200.339622131824
"202","fixed","rep_2","Adjustment penalty","profits",203.34470859318
"203","fixed","rep_3","Adjustment penalty","profits",145.156299950481
"204","fixed","rep_4","Adjustment penalty","profits",248.389591527823
"205","fixed","rep_5","Adjustment penalty","profits",136.956497902786
"206","fixed","rep_6","Adjustment penalty","profits",209.891619637146
"207","fixed","rep_7","Adjustment penalty","profits",250.899730657451
"208","fixed","rep_8","Adjustment penalty","profits",121.3473467987
"209","fixed","rep_9","Adjustment penalty","profits",153.148491202576
"210","fixed","rep_10","Adjustment penalty","profits",153.864832735245
"211","fixed","rep_11","Adjustment penalty","profits",156.999848877471
"212","fixed","rep_12","Adjustment penalty","profits",125.188364658581
"213","fixed","rep_13","Adjustment penalty","profits",221.92938794669
"214","fixed","rep_14","Adjustment penalty","profits",282.353642587774
"215","fixed","rep_15","Adjustment penalty","profits",187.477518918054
"216","fixed","rep_16","Adjustment penalty","profits",210.507326132136
"217","fixed","rep_17","Adjustment penalty","profits",255.132831130882
"218","fixed","rep_18","Adjustment penalty","profits",171.360846830248
"219","fixed","rep_19","Adjustment penalty","profits",204.090393358616
"220","fixed","rep_20","Adjustment penalty","profits",138.327383704763
"221","fixed","rep_21","Adjustment penalty","profits",184.471561042413
"222","fixed","rep_22","Adjustment penalty","profits",223.786735382973
"223","fixed","rep_23","Adjustment penalty","profits",197.686772191716
"224","fixed","rep_24","Adjustment penalty","profits",155.736709562607
"225","fixed","rep_25","Adjustment penalty","profits",154.906898123145
"226","fixed","rep_26","Adjustment penalty","profits",229.06672662562
"227","fixed","rep_27","Adjustment penalty","profits",159.879200406754
"228","fixed","rep_28","Adjustment penalty","profits",181.517045139689
"229","fixed","rep_29","Adjustment penalty","profits",188.648711138644
"230","fixed","rep_30","Adjustment penalty","profits",156.355507675942
"231","fixed","rep_31","Adjustment penalty","profits",188.644110658642
"232","fixed","rep_32","Adjustment penalty","profits",206.611528515621
"233","fixed","rep_33","Adjustment penalty","profits",196.809380951952
"234","fixed","rep_34","Adjustment penalty","profits",192.361802982793
"235","fixed","rep_35","Adjustment penalty","profits",221.745395484622
"236","fixed","rep_36","Adjustment penalty","profits",221.781116269646
"237","fixed","rep_37","Adjustment penalty","profits",161.672058589196
"238","fixed","rep_38","Adjustment penalty","profits",167.454975265414
"239","fixed","rep_39","Adjustment penalty","profits",147.364198098684
"240","fixed","rep_40","Adjustment penalty","profits",144.589094154219
"241","fixed","rep_41","Adjustment penalty","profits",239.242397173312
