"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"172","L1",8,"harvest.autocorrelation",-0.277933326742881,0,"autocor","harvest"
"173","L2",8,"harvest.autocorrelation",-0.261046841211387,0,"autocor","harvest"
"174","fixed",8,"harvest.autocorrelation",-0.155809802410603,0,"autocor","harvest"
"175","L1",9,"harvest.autocorrelation",-0.400693195199416,0,"autocor","harvest"
"176","L2",9,"harvest.autocorrelation",-0.0892003506205283,0,"autocor","harvest"
"177","fixed",9,"harvest.autocorrelation",-0.240654222693858,0,"autocor","harvest"
"178","L1",10,"harvest.autocorrelation",-0.148282195827439,0,"autocor","harvest"
"179","L2",10,"harvest.autocorrelation",-0.269713704289403,0,"autocor","harvest"
"180","fixed",10,"harvest.autocorrelation",-0.345644812845198,0,"autocor","harvest"
"181","L1",11,"harvest.autocorrelation",-0.299019292375549,0,"autocor","harvest"
"182","L2",11,"harvest.autocorrelation",-0.249482440714804,0,"autocor","harvest"
"183","fixed",11,"harvest.autocorrelation",-0.253632585980447,0,"autocor","harvest"
"184","L1",12,"harvest.autocorrelation",-0.143349460663961,0,"autocor","harvest"
"185","L2",12,"harvest.autocorrelation",-0.339800763730737,0,"autocor","harvest"
"186","fixed",12,"harvest.autocorrelation",-0.0668524125852377,0,"autocor","harvest"
"187","L1",13,"harvest.autocorrelation",-0.203895934127435,0,"autocor","harvest"
"188","L2",13,"harvest.autocorrelation",-0.2587848544888,0,"autocor","harvest"
"189","fixed",13,"harvest.autocorrelation",-0.0489470380879337,0,"autocor","harvest"
"190","L1",14,"harvest.autocorrelation",-0.0227589930737838,0,"autocor","harvest"
"191","L2",14,"harvest.autocorrelation",-0.27968420117016,0,"autocor","harvest"
"192","fixed",14,"harvest.autocorrelation",-0.322701029191356,0,"autocor","harvest"
"193","L1",15,"harvest.autocorrelation",-0.417593461088661,0,"autocor","harvest"
"194","L2",15,"harvest.autocorrelation",-0.477441167425842,0,"autocor","harvest"
"195","fixed",15,"harvest.autocorrelation",-0.34854175725011,0,"autocor","harvest"
"196","L1",16,"harvest.autocorrelation",-0.126418700941928,0,"autocor","harvest"
"197","L2",16,"harvest.autocorrelation",-0.342931189011144,0,"autocor","harvest"
"198","fixed",16,"harvest.autocorrelation",-0.159418691126726,0,"autocor","harvest"
"199","L1",17,"harvest.autocorrelation",-0.0545477048274391,0,"autocor","harvest"
"200","L2",17,"harvest.autocorrelation",-0.144589046595143,0,"autocor","harvest"
"201","fixed",17,"harvest.autocorrelation",-0.449382373187285,0,"autocor","harvest"
"202","L1",18,"harvest.autocorrelation",-0.0687958105348697,0,"autocor","harvest"
"203","L2",18,"harvest.autocorrelation",-0.159197426537772,0,"autocor","harvest"
"204","fixed",18,"harvest.autocorrelation",-0.224926905156056,0,"autocor","harvest"
"205","L1",19,"harvest.autocorrelation",-0.174255353504001,0,"autocor","harvest"
"206","L2",19,"harvest.autocorrelation",-0.414438810941622,0,"autocor","harvest"
"207","fixed",19,"harvest.autocorrelation",-0.028163399650201,0,"autocor","harvest"
"208","L1",20,"harvest.autocorrelation",-0.136072787790174,0,"autocor","harvest"
"209","L2",20,"harvest.autocorrelation",-0.156526507368096,0,"autocor","harvest"
"210","fixed",20,"harvest.autocorrelation",-0.112203126039353,0,"autocor","harvest"
"211","L1",21,"harvest.autocorrelation",-0.318786512632385,0,"autocor","harvest"
"212","L2",21,"harvest.autocorrelation",-0.178268767980806,0,"autocor","harvest"
"213","fixed",21,"harvest.autocorrelation",-0.230252563647732,0,"autocor","harvest"
"214","L1",22,"harvest.autocorrelation",-0.222511649220032,0,"autocor","harvest"
"215","L2",22,"harvest.autocorrelation",-0.142094442237902,0,"autocor","harvest"
"216","fixed",22,"harvest.autocorrelation",-0.229152265604948,0,"autocor","harvest"
"217","L1",23,"harvest.autocorrelation",-0.0334649432716717,0,"autocor","harvest"
"218","L2",23,"harvest.autocorrelation",-0.218968503289481,0,"autocor","harvest"
"219","fixed",23,"harvest.autocorrelation",-0.380752363087007,0,"autocor","harvest"
"220","L1",24,"harvest.autocorrelation",-0.162639896197489,0,"autocor","harvest"
"221","L2",24,"harvest.autocorrelation",-0.0660446338707597,0,"autocor","harvest"
