"","time","replicate","penalty_fn","variable","stock"
"310",16,"rep_17","L2","fishstock",9.88581322925841
"311",17,"rep_17","L2","fishstock",8.03687082405879
"312",18,"rep_17","L2","fishstock",8.2604757909098
"313",19,"rep_17","L2","fishstock",7.41345164456244
"314",20,"rep_17","L2","fishstock",7.78173166969755
"315",21,"rep_17","L2","fishstock",7.99976236983476
"316",22,"rep_17","L2","fishstock",8.13122070794383
"317",23,"rep_17","L2","fishstock",6.29079574943486
"318",24,"rep_17","L2","fishstock",5.44017137787534
"319",25,"rep_17","L2","fishstock",8.30581011136157
"320",26,"rep_17","L2","fishstock",6.7778519422392
"321",27,"rep_17","L2","fishstock",8.3063154925584
"322",28,"rep_17","L2","fishstock",7.67738587509412
"323",29,"rep_17","L2","fishstock",7.47684720826726
"324",30,"rep_17","L2","fishstock",7.47259624359858
"325",31,"rep_17","L2","fishstock",6.00101376037113
"326",32,"rep_17","L2","fishstock",4.87334223498077
"327",33,"rep_17","L2","fishstock",4.57811518868116
"328",34,"rep_17","L2","fishstock",4.67887712655871
"329",35,"rep_17","L2","fishstock",2.78806071669307
"330",36,"rep_17","L2","fishstock",2.75606156111976
"331",37,"rep_17","L2","fishstock",3.31089730511949
"332",38,"rep_17","L2","fishstock",3.63899051417767
"333",39,"rep_17","L2","fishstock",3.90130813376694
"334",40,"rep_17","L2","fishstock",4.93717877970306
"335",41,"rep_17","L2","fishstock",5.10185252329808
"336",42,"rep_17","L2","fishstock",6.07429921819081
"337",43,"rep_17","L2","fishstock",5.83656990217425
"338",44,"rep_17","L2","fishstock",5.76782684103482
"339",45,"rep_17","L2","fishstock",7.58040221153757
"340",46,"rep_17","L2","fishstock",10.2401901255516
"341",47,"rep_17","L2","fishstock",8.27037940509799
"342",48,"rep_17","L2","fishstock",9.17003554926921
"343",49,"rep_17","L2","fishstock",5.95233476207456
"344",1,"rep_18","L2","fishstock",10
"345",2,"rep_18","L2","fishstock",10.4958883478351
"346",3,"rep_18","L2","fishstock",12.205643777655
"347",4,"rep_18","L2","fishstock",6.62728533812228
"348",5,"rep_18","L2","fishstock",5.94757500831965
"349",6,"rep_18","L2","fishstock",5.71232201699094
"350",7,"rep_18","L2","fishstock",6.50752512647743
"351",8,"rep_18","L2","fishstock",4.97579436322371
"352",9,"rep_18","L2","fishstock",9.1522674372229
"353",10,"rep_18","L2","fishstock",8.2962744372673
"354",11,"rep_18","L2","fishstock",10.0151412042586
"355",12,"rep_18","L2","fishstock",5.64450835919501
"356",13,"rep_18","L2","fishstock",6.98995141875375
"357",14,"rep_18","L2","fishstock",5.22114915377223
"358",15,"rep_18","L2","fishstock",5.93888008936559
"359",16,"rep_18","L2","fishstock",5.35236983545153
"360",17,"rep_18","L2","fishstock",7.46461140417145
"361",18,"rep_18","L2","fishstock",5.98261360125677
"362",19,"rep_18","L2","fishstock",5.37016061024794
"363",20,"rep_18","L2","fishstock",7.66927614662125
"364",21,"rep_18","L2","fishstock",7.93492001287268
"365",22,"rep_18","L2","fishstock",5.53474901660014
"366",23,"rep_18","L2","fishstock",7.33561088084071
"367",24,"rep_18","L2","fishstock",5.948475238494
"368",25,"rep_18","L2","fishstock",5.3427796515789
"369",26,"rep_18","L2","fishstock",6.4180622645112
"370",27,"rep_18","L2","fishstock",4.4384112848555
"371",28,"rep_18","L2","fishstock",4.40337999358733
"372",29,"rep_18","L2","fishstock",5.27734193560269
"373",30,"rep_18","L2","fishstock",5.64281741656843
"374",31,"rep_18","L2","fishstock",4.32626517506124
"375",32,"rep_18","L2","fishstock",4.44006704497005
"376",33,"rep_18","L2","fishstock",5.66995732577295
"377",34,"rep_18","L2","fishstock",6.56157666840634
"378",35,"rep_18","L2","fishstock",8.24805464384643
"379",36,"rep_18","L2","fishstock",5.30900666803609
"380",37,"rep_18","L2","fishstock",7.15392758944205
"381",38,"rep_18","L2","fishstock",7.91173766471007
"382",39,"rep_18","L2","fishstock",5.66205167543045
"383",40,"rep_18","L2","fishstock",6.77782603302443
"384",41,"rep_18","L2","fishstock",7.76198113275438
"385",42,"rep_18","L2","fishstock",8.24222111608215
"386",43,"rep_18","L2","fishstock",12.1198478985642
"387",44,"rep_18","L2","fishstock",10.2008324971589
"388",45,"rep_18","L2","fishstock",9.73253152314232
"389",46,"rep_18","L2","fishstock",7.54365026030682
"390",47,"rep_18","L2","fishstock",7.08405080309471
"391",48,"rep_18","L2","fishstock",7.02858752363941
"392",49,"rep_18","L2","fishstock",4.03213051864021
"393",1,"rep_19","L2","fishstock",10
"394",2,"rep_19","L2","fishstock",6.87437683901722
"395",3,"rep_19","L2","fishstock",7.05309980921742
"396",4,"rep_19","L2","fishstock",6.24359123455377
"397",5,"rep_19","L2","fishstock",5.73122169358513
"398",6,"rep_19","L2","fishstock",7.38047285570204
"399",7,"rep_19","L2","fishstock",6.6587625474906
"400",8,"rep_19","L2","fishstock",7.61606596627846
"401",9,"rep_19","L2","fishstock",6.07033885655678
"402",10,"rep_19","L2","fishstock",5.77068006776068
"403",11,"rep_19","L2","fishstock",5.88419469850842
"404",12,"rep_19","L2","fishstock",6.89005864856678
"405",13,"rep_19","L2","fishstock",7.98143278181507
"406",14,"rep_19","L2","fishstock",8.12585969242513
"407",15,"rep_19","L2","fishstock",6.92757175024842
"408",16,"rep_19","L2","fishstock",7.50157380432126
"409",17,"rep_19","L2","fishstock",6.5917288870257
"410",18,"rep_19","L2","fishstock",5.7212997058797
"411",19,"rep_19","L2","fishstock",8.02413199425897
"412",20,"rep_19","L2","fishstock",8.18328324966564
"413",21,"rep_19","L2","fishstock",6.42844725455225
"414",22,"rep_19","L2","fishstock",8.5279580438963
"415",23,"rep_19","L2","fishstock",6.12769468277903
"416",24,"rep_19","L2","fishstock",6.13444725374585
"417",25,"rep_19","L2","fishstock",7.82679303103284
"418",26,"rep_19","L2","fishstock",5.920081769282
"419",27,"rep_19","L2","fishstock",6.77825252410609
"420",28,"rep_19","L2","fishstock",6.42598117730106
"421",29,"rep_19","L2","fishstock",9.79791331208757
"422",30,"rep_19","L2","fishstock",6.14287324450952
"423",31,"rep_19","L2","fishstock",6.46931725402439
"424",32,"rep_19","L2","fishstock",8.71889914828427
"425",33,"rep_19","L2","fishstock",7.12931210344977
"426",34,"rep_19","L2","fishstock",7.58771436656932
"427",35,"rep_19","L2","fishstock",7.32210179988047
"428",36,"rep_19","L2","fishstock",8.19411239727449
"429",37,"rep_19","L2","fishstock",5.13816722458737
"430",38,"rep_19","L2","fishstock",10.0272811810763
"431",39,"rep_19","L2","fishstock",5.36614591676609
"432",40,"rep_19","L2","fishstock",5.07612681717993
"433",41,"rep_19","L2","fishstock",4.73527641664233
"434",42,"rep_19","L2","fishstock",5.78490381991609
"435",43,"rep_19","L2","fishstock",8.96963242847958
"436",44,"rep_19","L2","fishstock",6.98694009058101
"437",45,"rep_19","L2","fishstock",5.23709922253524
"438",46,"rep_19","L2","fishstock",5.21528821652827
"439",47,"rep_19","L2","fishstock",5.45151196566976
"440",48,"rep_19","L2","fishstock",6.14452802323402
"441",49,"rep_19","L2","fishstock",6.31319586434285
"442",1,"rep_20","L2","fishstock",10
"443",2,"rep_20","L2","fishstock",11.003669464538
"444",3,"rep_20","L2","fishstock",7.77327954350249
"445",4,"rep_20","L2","fishstock",9.85564577644732
"446",5,"rep_20","L2","fishstock",6.20644791367742
"447",6,"rep_20","L2","fishstock",5.67716753561532
"448",7,"rep_20","L2","fishstock",6.74002779595502
"449",8,"rep_20","L2","fishstock",3.6760382842676
"450",9,"rep_20","L2","fishstock",3.90580640904879
"451",10,"rep_20","L2","fishstock",4.45957986277586
"452",11,"rep_20","L2","fishstock",4.88556943247351
"453",12,"rep_20","L2","fishstock",5.69780539326332
"454",13,"rep_20","L2","fishstock",6.00579702753523
"455",14,"rep_20","L2","fishstock",5.4433916264231
"456",15,"rep_20","L2","fishstock",7.74786005985631
"457",16,"rep_20","L2","fishstock",5.38597621499652
"458",17,"rep_20","L2","fishstock",5.39736424407085
"459",18,"rep_20","L2","fishstock",7.16624630955556
"460",19,"rep_20","L2","fishstock",6.97548367647883
"461",20,"rep_20","L2","fishstock",6.65076104212868
"462",21,"rep_20","L2","fishstock",6.99373469271156
"463",22,"rep_20","L2","fishstock",6.95645540922986
"464",23,"rep_20","L2","fishstock",6.55654811879754
"465",24,"rep_20","L2","fishstock",7.37458168466949
"466",25,"rep_20","L2","fishstock",7.51197653727036
"467",26,"rep_20","L2","fishstock",6.62496478449779
"468",27,"rep_20","L2","fishstock",4.80217760081537
"469",28,"rep_20","L2","fishstock",4.86070904971571
"470",29,"rep_20","L2","fishstock",4.5289279314622
"471",30,"rep_20","L2","fishstock",3.37062939005207
"472",31,"rep_20","L2","fishstock",3.8174086945322
"473",32,"rep_20","L2","fishstock",4.59462472420768
"474",33,"rep_20","L2","fishstock",7.68917543999392
"475",34,"rep_20","L2","fishstock",10.0890481887052
"476",35,"rep_20","L2","fishstock",10.5026105362092
"477",36,"rep_20","L2","fishstock",6.70894992793197
"478",37,"rep_20","L2","fishstock",4.39258423843504
"479",38,"rep_20","L2","fishstock",4.4917889601804
"480",39,"rep_20","L2","fishstock",7.04560430011301
"481",40,"rep_20","L2","fishstock",7.09738590174455
"482",41,"rep_20","L2","fishstock",7.32349039168265
"483",42,"rep_20","L2","fishstock",5.76090493809388
"484",43,"rep_20","L2","fishstock",4.36169771852548
"485",44,"rep_20","L2","fishstock",5.99147898875568
"486",45,"rep_20","L2","fishstock",5.8628737904595
"487",46,"rep_20","L2","fishstock",4.89530059187321
"488",47,"rep_20","L2","fishstock",5.42561371760006
"489",48,"rep_20","L2","fishstock",6.49802588697681
"490",49,"rep_20","L2","fishstock",6.61028729751371
"491",1,"rep_16","fixed","fishstock",10
"492",2,"rep_16","fixed","fishstock",3.43812186732297
"493",3,"rep_16","fixed","fishstock",4.28104373275158
"494",4,"rep_16","fixed","fishstock",6.5732923706924
"495",5,"rep_16","fixed","fishstock",5.55286305661187
"496",6,"rep_16","fixed","fishstock",8.19002098424877
"497",7,"rep_16","fixed","fishstock",7.92955119247637
"498",8,"rep_16","fixed","fishstock",6.95885254333393
"499",9,"rep_16","fixed","fishstock",7.83456804138648
"500",10,"rep_16","fixed","fishstock",10.3557410937297
"501",11,"rep_16","fixed","fishstock",3.54521211167007
"502",12,"rep_16","fixed","fishstock",6.52022846013284
"503",13,"rep_16","fixed","fishstock",7.53401399406016
"504",14,"rep_16","fixed","fishstock",7.06413680105342
"505",15,"rep_16","fixed","fishstock",10.8983828245106
"506",16,"rep_16","fixed","fishstock",4.386923310683
"507",17,"rep_16","fixed","fishstock",3.8624063677556
"508",18,"rep_16","fixed","fishstock",5.43680821727519
"509",19,"rep_16","fixed","fishstock",7.03780619653581
"510",20,"rep_16","fixed","fishstock",6.99824531968619
"511",21,"rep_16","fixed","fishstock",9.73339621266784
"512",22,"rep_16","fixed","fishstock",2.29948693131995
"513",23,"rep_16","fixed","fishstock",2.89381357282298
"514",24,"rep_16","fixed","fishstock",3.64495789363556
"515",25,"rep_16","fixed","fishstock",6.19141543185668
"516",26,"rep_16","fixed","fishstock",5.95669072836075
"517",27,"rep_16","fixed","fishstock",9.33230079773808
