"","time","fishstock","harvest","unharvested","escapement","alternate","harvest_alt","profit_fishing","policy_cost","profit_fishing_alt","policy_cost_alt","replicate","penalty_fn"
"13",13,8.0146086396365,2.29285714285714,13.5594595651148,6.56449408850704,4.81771996550855,0.01,14.3460295505409,0,0.0377298800786006,13.5060812203669,"rep_1","L1"
"14",14,5.89371915645849,0.01,10.7050427368353,5.72175149677936,5.13467897292113,0.01,0.0490983550393301,4.61183261183261,0.0415737572724491,0,"rep_1","L1"
"15",15,4.37905220200407,0.01,6.71635380580305,5.88371915645849,3.92935267572621,0.01,0.0314920247210946,0,0.02365154651218,0,"rep_1","L1"
"16",16,6.73565924541887,0.01,9.44469401720379,4.36905220200407,6.15596915280733,0.01,0.0554609297962935,0,0.0512668123323618,0,"rep_1","L1"
"17",17,7.4821223266549,0.82530612244898,9.53672408664303,6.72565924541887,6.98882237443301,0.662244897959184,4.94394883731831,1.6470830756545,3.77971727539905,1.3176664605236,"rep_1","L1"
"18",18,7.46746636158379,0.82530612244898,9.65499110865757,6.65681620420592,7.1860364180663,0.499183673469388,4.93745423349763,0,2.90786313188415,0.988249845392703,"rep_1","L1"
"19",19,9.03320235037378,8,11.796574271052,6.64216023913481,9.07875354052713,8,53.431349073007,14.4943310657596,53.5646530188726,16.1414141414141,"rep_1","L1"
"20",20,1.73672720307595,0,13.1167788295727,1.03320235037378,1.80937643376435,0,0,0,0,0,"rep_1","L1"
"21",1,10,6.53244897959184,10,10,10,6.36938775510204,45.7271428571448,13.176664605236,44.5857142857162,12.8472479901051,"rep_2","L1"
"22",2,3.70485603117142,0.01,8.35785807938385,3.46755102040816,3.8523092296115,0.01,0.0190251935633074,13.176664605236,0.0221246317159808,13.176664605236,"rep_2","L1"
"23",3,4.85423164955181,0.01,9.17484251819301,3.69485603117142,5.01673370298708,0.01,0.0381982522346998,0,0.0402001346371418,0,"rep_2","L1"
"24",4,8.03598431885071,2.45591836734694,12.9607414138103,4.84423164955181,8.25158297892228,3.76040816326531,15.390729866564,4.94124922696351,23.9324933827244,7.57658214801072,"rep_2","L1"
"25",5,5.22006298550233,0.01,9.40959529608172,5.58006595150377,4.3882202062044,0.01,0.0425294290829187,4.94124922696351,0.0316351536835437,6.91774891774892,"rep_2","L1"
"26",6,6.10126261460874,0.01,9.44566573070421,5.21006298550233,5.30208005812958,0.01,0.0508298496639635,0,0.043418432631933,0,"rep_2","L1"
"27",7,7.1917629190772,0.01,9.88176062266702,6.09126261460874,6.44562436307979,0.01,0.0582856104441145,0,0.0534567974953151,0,"rep_2","L1"
"28",8,9.13202023802424,5.06489795918367,11.4298772953235,7.1817629190772,8.41423304239282,3.76040816326531,34.0100612785799,10.2119150690579,24.1967699585442,7.57658214801072,"rep_2","L1"
"29",9,4.83241711849468,0.01,10.3992072004951,4.06712227884056,5.39792789619957,0.01,0.0379192663539382,10.2119150690579,0.0444231183207985,6.91774891774892,"rep_2","L1"
"30",10,8.66784574214787,4.0865306122449,15.2625972672285,4.82241711849468,9.46858298296329,5.71714285714286,26.7215474522637,8.23541537827252,39.0573891187596,11.5295815295815,"rep_2","L1"
"31",11,5.43815296999977,0.01,12.6293359389713,4.58131512990297,4.60865756306912,0.01,0.0448342108699533,8.23541537827252,0.0349051223931355,11.5295815295815,"rep_2","L1"
"32",12,6.96201894218108,0.01,12.6232219496815,5.42815296999977,6.09701975943609,0.01,0.0569090514559887,0,0.0507956326473022,0,"rep_2","L1"
"33",13,9.41704966896954,5.39102040816327,14.1266304745621,6.95201894218108,8.51874193251595,4.0865306122449,36.7359703322021,10.8707482993197,26.4739887966611,8.23541537827252,"rep_2","L1"
"34",14,4.64736833781643,0.01,11.4804085808159,4.02602926080627,5.03117996291745,0.01,0.0354473374621967,10.8707482993197,0.0403718407588072,8.23541537827252,"rep_2","L1"
"35",15,4.58663341670528,0.01,8.88656125886128,4.63736833781643,4.89006638967232,0.01,0.0345925490998943,0,0.0386511396586496,0,"rep_2","L1"
"36",16,7.97898100165506,2.12979591836735,13.1814015130522,4.57663341670528,8.40422925325504,3.10816326530612,13.290185065931,4.28241599670171,19.9866356998239,6.25891568748712,"rep_2","L1"
