"","penalty_fn","reps","variable","value","penalty_fraction","statistic","timeseries"
"115","L1",39,"stock.autocorrelation",-0.0225822086960611,0,"variance","stock"
"116","L2",39,"stock.autocorrelation",-0.0323965136921813,0,"variance","stock"
"117","fixed",39,"stock.autocorrelation",-0.0601864733920393,0,"variance","stock"
"118","L1",40,"stock.autocorrelation",-0.00753310345212818,0,"variance","stock"
"119","L2",40,"stock.autocorrelation",-0.0668199476231715,0,"variance","stock"
"120","fixed",40,"stock.autocorrelation",-0.10377785466149,0,"variance","stock"
"121","L1",41,"stock.autocorrelation",0.0960505163989084,0,"variance","stock"
"122","L2",41,"stock.autocorrelation",0.0854323643736894,0,"variance","stock"
"123","fixed",41,"stock.autocorrelation",0.0318756243431104,0,"variance","stock"
"124","L1",42,"stock.autocorrelation",-0.148238584535629,0,"variance","stock"
"125","L2",42,"stock.autocorrelation",0.20648776085306,0,"variance","stock"
"126","fixed",42,"stock.autocorrelation",-0.271505253000254,0,"variance","stock"
"127","L1",43,"stock.autocorrelation",0.0966104379518316,0,"variance","stock"
"128","L2",43,"stock.autocorrelation",-0.237640486663325,0,"variance","stock"
"129","fixed",43,"stock.autocorrelation",-0.024518647686893,0,"variance","stock"
"130","L1",44,"stock.autocorrelation",0.0254988633034979,0,"variance","stock"
"131","L2",44,"stock.autocorrelation",-0.0649910845096189,0,"variance","stock"
"132","fixed",44,"stock.autocorrelation",-0.0291520701857895,0,"variance","stock"
"133","L1",45,"stock.autocorrelation",-0.270540725619757,0,"variance","stock"
"134","L2",45,"stock.autocorrelation",0.0441387741911344,0,"variance","stock"
"135","fixed",45,"stock.autocorrelation",-0.0614379025599103,0,"variance","stock"
"136","L1",46,"stock.autocorrelation",-0.341557871256847,0,"variance","stock"
"137","L2",46,"stock.autocorrelation",-0.110613594626225,0,"variance","stock"
"138","fixed",46,"stock.autocorrelation",-0.26610934434231,0,"variance","stock"
"139","L1",47,"stock.autocorrelation",-0.178264310293797,0,"variance","stock"
"140","L2",47,"stock.autocorrelation",-0.0685656500457842,0,"variance","stock"
"141","fixed",47,"stock.autocorrelation",0.205257274828332,0,"variance","stock"
"142","L1",48,"stock.autocorrelation",-0.0160421298714566,0,"variance","stock"
"143","L2",48,"stock.autocorrelation",-0.32141825207236,0,"variance","stock"
"144","fixed",48,"stock.autocorrelation",-0.0312386571317005,0,"variance","stock"
"145","L1",49,"stock.autocorrelation",0.0878468713125145,0,"variance","stock"
"146","L2",49,"stock.autocorrelation",-0.0979589820414606,0,"variance","stock"
"147","fixed",49,"stock.autocorrelation",-0.10239437082544,0,"variance","stock"
"148","L1",50,"stock.autocorrelation",-0.0266829895415759,0,"variance","stock"
"149","L2",50,"stock.autocorrelation",-0.0327642907823546,0,"variance","stock"
"150","fixed",50,"stock.autocorrelation",-0.0424554658850659,0,"variance","stock"
"151","L1",1,"harvest.variance",6.27825867412701,0,"autocor","stock"
"152","L2",1,"harvest.variance",5.47367851235231,0,"autocor","stock"
"153","fixed",1,"harvest.variance",6.90899140040334,0,"autocor","stock"
"154","L1",2,"harvest.variance",4.19937273274294,0,"autocor","stock"
"155","L2",2,"harvest.variance",5.34689639612881,0,"autocor","stock"
"156","fixed",2,"harvest.variance",6.02527338784278,0,"autocor","stock"
"157","L1",3,"harvest.variance",5.18557043381047,0,"autocor","stock"
"158","L2",3,"harvest.variance",5.29678002794888,0,"autocor","stock"
"159","fixed",3,"harvest.variance",4.58709764560819,0,"autocor","stock"
"160","L1",4,"harvest.variance",6.00213349382933,0,"autocor","stock"
"161","L2",4,"harvest.variance",5.4075796921239,0,"autocor","stock"
"162","fixed",4,"harvest.variance",7.65894999276617,0,"autocor","stock"
"163","L1",5,"harvest.variance",6.0707446128806,0,"autocor","stock"
"164","L2",5,"harvest.variance",6.0877337184068,0,"autocor","stock"
"165","fixed",5,"harvest.variance",4.75831788629738,0,"autocor","stock"
"166","L1",6,"harvest.variance",4.90214384127228,0,"autocor","stock"
"167","L2",6,"harvest.variance",6.38661530984897,0,"autocor","stock"
"168","fixed",6,"harvest.variance",4.69048502992174,0,"autocor","stock"
"169","L1",7,"harvest.variance",5.11971130132182,0,"autocor","stock"
"170","L2",7,"harvest.variance",4.3206436072689,0,"autocor","stock"
"171","fixed",7,"harvest.variance",6.02819237642211,0,"autocor","stock"
"172","L1",8,"harvest.variance",5.46379675694338,0,"autocor","stock"
"173","L2",8,"harvest.variance",5.6227832898573,0,"autocor","stock"
"174","fixed",8,"harvest.variance",4.13286398255113,0,"autocor","stock"
"175","L1",9,"harvest.variance",6.91386957572503,0,"autocor","stock"
"176","L2",9,"harvest.variance",7.33307739001293,0,"autocor","stock"
"177","fixed",9,"harvest.variance",5.48349161040356,0,"autocor","stock"
"178","L1",10,"harvest.variance",4.84393991659177,0,"autocor","stock"
"179","L2",10,"harvest.variance",7.56830196365549,0,"autocor","stock"
"180","fixed",10,"harvest.variance",6.65535527039172,0,"autocor","stock"
"181","L1",11,"harvest.variance",6.28807177217826,0,"autocor","stock"
"182","L2",11,"harvest.variance",5.38874892303645,0,"autocor","stock"
"183","fixed",11,"harvest.variance",6.33582366502992,0,"autocor","stock"
"184","L1",12,"harvest.variance",5.9711283915693,0,"autocor","stock"
"185","L2",12,"harvest.variance",4.86453843749315,0,"autocor","stock"
"186","fixed",12,"harvest.variance",5.44765457145049,0,"autocor","stock"
"187","L1",13,"harvest.variance",6.41933202952717,0,"autocor","stock"
"188","L2",13,"harvest.variance",6.46291333819242,0,"autocor","stock"
"189","fixed",13,"harvest.variance",6.80963789857296,0,"autocor","stock"
"190","L1",14,"harvest.variance",6.15002704695412,0,"autocor","stock"
"191","L2",14,"harvest.variance",5.53946837447116,0,"autocor","stock"
"192","fixed",14,"harvest.variance",5.64475154255902,0,"autocor","stock"
"193","L1",15,"harvest.variance",6.17438219371315,0,"autocor","stock"
"194","L2",15,"harvest.variance",5.73544519728622,0,"autocor","stock"
"195","fixed",15,"harvest.variance",9.34563752153708,0,"autocor","stock"
"196","L1",16,"harvest.variance",6.53084655340976,0,"autocor","stock"
"197","L2",16,"harvest.variance",6.55561828569237,0,"autocor","stock"
"198","fixed",16,"harvest.variance",6.11934141158289,0,"autocor","stock"
"199","L1",17,"harvest.variance",6.25634716883316,0,"autocor","stock"
"200","L2",17,"harvest.variance",6.37294058572086,0,"autocor","stock"
"201","fixed",17,"harvest.variance",4.80277983066266,0,"autocor","stock"
"202","L1",18,"harvest.variance",6.55123122065368,0,"autocor","stock"
"203","L2",18,"harvest.variance",3.91464042438458,0,"autocor","stock"
"204","fixed",18,"harvest.variance",6.82654118240207,0,"autocor","stock"
"205","L1",19,"harvest.variance",5.44808893432561,0,"autocor","stock"
"206","L2",19,"harvest.variance",8.76622853460181,0,"autocor","stock"
"207","fixed",19,"harvest.variance",4.97434922554199,0,"autocor","stock"
"208","L1",20,"harvest.variance",6.30034243582718,0,"autocor","stock"
"209","L2",20,"harvest.variance",3.81265972774502,0,"autocor","stock"
"210","fixed",20,"harvest.variance",5.04487267969486,0,"autocor","stock"
"211","L1",21,"harvest.variance",6.42851206120257,0,"autocor","stock"
"212","L2",21,"harvest.variance",5.01133487406563,0,"autocor","stock"
"213","fixed",21,"harvest.variance",4.34641008307942,0,"autocor","stock"
"214","L1",22,"harvest.variance",6.06632523334576,0,"autocor","stock"
"215","L2",22,"harvest.variance",5.52716600933821,0,"autocor","stock"
"216","fixed",22,"harvest.variance",5.59629205857209,0,"autocor","stock"
"217","L1",23,"harvest.variance",4.66971486562616,0,"autocor","stock"
"218","L2",23,"harvest.variance",5.87439157576887,0,"autocor","stock"
"219","fixed",23,"harvest.variance",6.66003211501787,0,"autocor","stock"
"220","L1",24,"harvest.variance",6.40151054111226,0,"autocor","stock"
"221","L2",24,"harvest.variance",5.82926889190907,0,"autocor","stock"
"222","fixed",24,"harvest.variance",7.23694658048182,0,"autocor","stock"
"223","L1",25,"harvest.variance",5.79102052598698,0,"autocor","stock"
"224","L2",25,"harvest.variance",6.90707906530174,0,"autocor","stock"
"225","fixed",25,"harvest.variance",5.45605108606063,0,"autocor","stock"
"226","L1",26,"harvest.variance",5.63955188616585,0,"autocor","stock"
"227","L2",26,"harvest.variance",6.97205108167649,0,"autocor","stock"
"228","fixed",26,"harvest.variance",4.0767149620772,0,"autocor","stock"
"229","L1",27,"harvest.variance",5.69535376663232,0,"autocor","stock"
"230","L2",27,"harvest.variance",7.25880195137991,0,"autocor","stock"
"231","fixed",27,"harvest.variance",5.31802877956553,0,"autocor","stock"
"232","L1",28,"harvest.variance",4.79259638571648,0,"autocor","stock"
"233","L2",28,"harvest.variance",5.65560360858414,0,"autocor","stock"
"234","fixed",28,"harvest.variance",4.17467429919551,0,"autocor","stock"
"235","L1",29,"harvest.variance",7.30422168339946,0,"autocor","stock"
"236","L2",29,"harvest.variance",4.3351289085688,0,"autocor","stock"
"237","fixed",29,"harvest.variance",6.62679985214494,0,"autocor","stock"
"238","L1",30,"harvest.variance",8.39416984710318,0,"autocor","stock"
"239","L2",30,"harvest.variance",5.35416347969048,0,"autocor","stock"
"240","fixed",30,"harvest.variance",5.83087953747342,0,"autocor","stock"
"241","L1",31,"harvest.variance",5.64768568129507,0,"autocor","stock"
"242","L2",31,"harvest.variance",4.27075562989105,0,"autocor","stock"
"243","fixed",31,"harvest.variance",5.93794236732502,0,"autocor","stock"
"244","L1",32,"harvest.variance",7.69550653280431,0,"autocor","stock"
"245","L2",32,"harvest.variance",5.5602708532629,0,"autocor","stock"
"246","fixed",32,"harvest.variance",6.84296123753261,0,"autocor","stock"
"247","L1",33,"harvest.variance",5.72037166706855,0,"autocor","stock"
"248","L2",33,"harvest.variance",6.29732510258883,0,"autocor","stock"
"249","fixed",33,"harvest.variance",4.95098295490914,0,"autocor","stock"
"250","L1",34,"harvest.variance",7.81361023641465,0,"autocor","stock"
"251","L2",34,"harvest.variance",5.23617265788378,0,"autocor","stock"
"252","fixed",34,"harvest.variance",5.60916470012495,0,"autocor","stock"
"253","L1",35,"harvest.variance",5.47920753140139,0,"autocor","stock"
"254","L2",35,"harvest.variance",7.17208219152108,0,"autocor","stock"
"255","fixed",35,"harvest.variance",3.99899833610995,0,"autocor","stock"
"256","L1",36,"harvest.variance",4.44598996152919,0,"autocor","stock"
"257","L2",36,"harvest.variance",5.01795960849646,0,"autocor","stock"
"258","fixed",36,"harvest.variance",4.52826590894145,0,"autocor","stock"
"259","L1",37,"harvest.variance",5.449230888336,0,"autocor","stock"
"260","L2",37,"harvest.variance",6.75394303250838,0,"autocor","stock"
"261","fixed",37,"harvest.variance",5.28667189592056,0,"autocor","stock"
"262","L1",38,"harvest.variance",5.78976507716083,0,"autocor","stock"
"263","L2",38,"harvest.variance",5.16213874602687,0,"autocor","stock"
"264","fixed",38,"harvest.variance",5.31072474013021,0,"autocor","stock"
"265","L1",39,"harvest.variance",6.48930298461168,0,"autocor","stock"
"266","L2",39,"harvest.variance",6.60434048916022,0,"autocor","stock"
"267","fixed",39,"harvest.variance",5.15391387481093,0,"autocor","stock"
"268","L1",40,"harvest.variance",8.01274030601285,0,"autocor","stock"
"269","L2",40,"harvest.variance",6.27801837337513,0,"autocor","stock"
"270","fixed",40,"harvest.variance",5.42964628948465,0,"autocor","stock"
"271","L1",41,"harvest.variance",5.78131041397225,0,"autocor","stock"
"272","L2",41,"harvest.variance",5.91157855498805,0,"autocor","stock"
"273","fixed",41,"harvest.variance",4.69933832613604,0,"autocor","stock"
"274","L1",42,"harvest.variance",7.13646303459085,0,"autocor","stock"
"275","L2",42,"harvest.variance",3.99377363379294,0,"autocor","stock"
"276","fixed",42,"harvest.variance",7.69236440781253,0,"autocor","stock"
"277","L1",43,"harvest.variance",5.66622667079506,0,"autocor","stock"
"278","L2",43,"harvest.variance",6.77770872432539,0,"autocor","stock"
"279","fixed",43,"harvest.variance",7.17908454141915,0,"autocor","stock"
"280","L1",44,"harvest.variance",4.27489713978825,0,"autocor","stock"
"281","L2",44,"harvest.variance",5.56849572447884,0,"autocor","stock"
"282","fixed",44,"harvest.variance",6.47312182906245,0,"autocor","stock"
"283","L1",45,"harvest.variance",7.83537251704334,0,"autocor","stock"
"284","L2",45,"harvest.variance",4.50173833479471,0,"autocor","stock"
"285","fixed",45,"harvest.variance",3.92361387097481,0,"autocor","stock"
"286","L1",46,"harvest.variance",6.75029263289419,0,"autocor","stock"
"287","L2",46,"harvest.variance",5.26568586378483,0,"autocor","stock"
"288","fixed",46,"harvest.variance",5.98677946677919,0,"autocor","stock"
"289","L1",47,"harvest.variance",4.41285017591355,0,"autocor","stock"
"290","L2",47,"harvest.variance",7.07241649137421,0,"autocor","stock"
"291","fixed",47,"harvest.variance",3.98971067702054,0,"autocor","stock"
"292","L1",48,"harvest.variance",7.68781760932945,0,"autocor","stock"
"293","L2",48,"harvest.variance",6.75269082388917,0,"autocor","stock"
"294","fixed",48,"harvest.variance",6.47395622613385,0,"autocor","stock"
"295","L1",49,"harvest.variance",3.50404560555909,0,"autocor","stock"
"296","L2",49,"harvest.variance",6.42064562693176,0,"autocor","stock"
"297","fixed",49,"harvest.variance",4.96595271093185,0,"autocor","stock"
"298","L1",50,"harvest.variance",5.58068520780815,0,"autocor","stock"
"299","L2",50,"harvest.variance",5.43746587211469,0,"autocor","stock"
"300","fixed",50,"harvest.variance",6.22335520671212,0,"autocor","stock"
"301","L1",1,"stock.autocorrelation",-0.150742871329416,0.0526315789473684,"variance","stock"
"302","L2",1,"stock.autocorrelation",-0.053034346673343,0.0526315789473684,"variance","stock"
"303","fixed",1,"stock.autocorrelation",-0.222612342998365,0.0526315789473684,"variance","stock"
"304","L1",2,"stock.autocorrelation",-0.267258924966441,0.0526315789473684,"variance","stock"
"305","L2",2,"stock.autocorrelation",-0.0444992552577823,0.0526315789473684,"variance","stock"
"306","fixed",2,"stock.autocorrelation",0.0725405956648885,0.0526315789473684,"variance","stock"
"307","L1",3,"stock.autocorrelation",0.0875633145641261,0.0526315789473684,"variance","stock"
"308","L2",3,"stock.autocorrelation",0.0823257828554768,0.0526315789473684,"variance","stock"
"309","fixed",3,"stock.autocorrelation",-0.134842638508651,0.0526315789473684,"variance","stock"
"310","L1",4,"stock.autocorrelation",-0.0813142235975278,0.0526315789473684,"variance","stock"
"311","L2",4,"stock.autocorrelation",-0.217885219312152,0.0526315789473684,"variance","stock"
"312","fixed",4,"stock.autocorrelation",-0.108272748144487,0.0526315789473684,"variance","stock"
"313","L1",5,"stock.autocorrelation",-0.313908704399597,0.0526315789473684,"variance","stock"
"314","L2",5,"stock.autocorrelation",-0.0871492555808196,0.0526315789473684,"variance","stock"
"315","fixed",5,"stock.autocorrelation",-0.079722270261368,0.0526315789473684,"variance","stock"
"316","L1",6,"stock.autocorrelation",-0.0531541216389896,0.0526315789473684,"variance","stock"
"317","L2",6,"stock.autocorrelation",-0.0588805085876686,0.0526315789473684,"variance","stock"
"318","fixed",6,"stock.autocorrelation",-0.0988710440364898,0.0526315789473684,"variance","stock"
"319","L1",7,"stock.autocorrelation",-0.170160662058896,0.0526315789473684,"variance","stock"
"320","L2",7,"stock.autocorrelation",0.0166150707458203,0.0526315789473684,"variance","stock"
"321","fixed",7,"stock.autocorrelation",-0.0534561251988068,0.0526315789473684,"variance","stock"
"322","L1",8,"stock.autocorrelation",-0.0063042773424843,0.0526315789473684,"variance","stock"
"323","L2",8,"stock.autocorrelation",0.0132941052125911,0.0526315789473684,"variance","stock"
"324","fixed",8,"stock.autocorrelation",-0.259903653607286,0.0526315789473684,"variance","stock"
"325","L1",9,"stock.autocorrelation",0.160356535616477,0.0526315789473684,"variance","stock"
"326","L2",9,"stock.autocorrelation",-0.0967254654574372,0.0526315789473684,"variance","stock"
"327","fixed",9,"stock.autocorrelation",0.103501526420505,0.0526315789473684,"variance","stock"
"328","L1",10,"stock.autocorrelation",-0.216440076059135,0.0526315789473684,"variance","stock"
"329","L2",10,"stock.autocorrelation",0.0212520708165055,0.0526315789473684,"variance","stock"
"330","fixed",10,"stock.autocorrelation",-0.254341511126685,0.0526315789473684,"variance","stock"
"331","L1",11,"stock.autocorrelation",-0.137357895204843,0.0526315789473684,"variance","stock"
"332","L2",11,"stock.autocorrelation",0.0786685948763975,0.0526315789473684,"variance","stock"
"333","fixed",11,"stock.autocorrelation",-0.069796924985207,0.0526315789473684,"variance","stock"
"334","L1",12,"stock.autocorrelation",0.133657341272977,0.0526315789473684,"variance","stock"
"335","L2",12,"stock.autocorrelation",-0.212288519013054,0.0526315789473684,"variance","stock"
"336","fixed",12,"stock.autocorrelation",0.0060801240846974,0.0526315789473684,"variance","stock"
"337","L1",13,"stock.autocorrelation",-0.228018540432548,0.0526315789473684,"variance","stock"
"338","L2",13,"stock.autocorrelation",-0.161718638869059,0.0526315789473684,"variance","stock"
"339","fixed",13,"stock.autocorrelation",-0.348652785952562,0.0526315789473684,"variance","stock"
"340","L1",14,"stock.autocorrelation",-0.16413198442026,0.0526315789473684,"variance","stock"
"341","L2",14,"stock.autocorrelation",-0.0617142280102665,0.0526315789473684,"variance","stock"
"342","fixed",14,"stock.autocorrelation",-0.0388928856746846,0.0526315789473684,"variance","stock"
"343","L1",15,"stock.autocorrelation",-0.0232365389888072,0.0526315789473684,"variance","stock"
"344","L2",15,"stock.autocorrelation",-0.240692186463455,0.0526315789473684,"variance","stock"
"345","fixed",15,"stock.autocorrelation",0.0287879782638879,0.0526315789473684,"variance","stock"
"346","L1",16,"stock.autocorrelation",-0.0899059525730022,0.0526315789473684,"variance","stock"
"347","L2",16,"stock.autocorrelation",-0.190907320196475,0.0526315789473684,"variance","stock"
"348","fixed",16,"stock.autocorrelation",-0.155359882428848,0.0526315789473684,"variance","stock"
"349","L1",17,"stock.autocorrelation",-0.0171649462447638,0.0526315789473684,"variance","stock"
"350","L2",17,"stock.autocorrelation",-0.320430057809317,0.0526315789473684,"variance","stock"
"351","fixed",17,"stock.autocorrelation",0.0304707063533897,0.0526315789473684,"variance","stock"
"352","L1",18,"stock.autocorrelation",0.0143209093536322,0.0526315789473684,"variance","stock"
"353","L2",18,"stock.autocorrelation",-0.0760065773791853,0.0526315789473684,"variance","stock"
"354","fixed",18,"stock.autocorrelation",0.00233652743205934,0.0526315789473684,"variance","stock"
"355","L1",19,"stock.autocorrelation",0.00156995829932618,0.0526315789473684,"variance","stock"
"356","L2",19,"stock.autocorrelation",-0.112884089463594,0.0526315789473684,"variance","stock"
"357","fixed",19,"stock.autocorrelation",-0.151702116975633,0.0526315789473684,"variance","stock"
"358","L1",20,"stock.autocorrelation",-0.0193131298843348,0.0526315789473684,"variance","stock"
"359","L2",20,"stock.autocorrelation",-0.0985667427706356,0.0526315789473684,"variance","stock"
"360","fixed",20,"stock.autocorrelation",-0.151034760345569,0.0526315789473684,"variance","stock"
"361","L1",21,"stock.autocorrelation",0.0225207142471113,0.0526315789473684,"variance","stock"
