"","time","penalty_fn","replicate","variable","value","baseline"
"1350",10,"L1","rep_18","harvest",0.01,"penalty"
"1351",11,"L1","rep_18","harvest",0.173061224489796,"penalty"
"1352",12,"L1","rep_18","harvest",0.173061224489796,"penalty"
"1353",13,"L1","rep_18","harvest",0.82530612244898,"penalty"
"1354",14,"L1","rep_18","harvest",0.82530612244898,"penalty"
"1355",15,"L1","rep_18","harvest",0.82530612244898,"penalty"
"1356",16,"L1","rep_18","harvest",0.662244897959184,"penalty"
"1357",17,"L1","rep_18","harvest",0.662244897959184,"penalty"
"1358",18,"L1","rep_18","harvest",0.662244897959184,"penalty"
"1359",19,"L1","rep_18","harvest",5.55408163265306,"penalty"
"1360",20,"L1","rep_18","harvest",0,"penalty"
"1361",1,"L1","rep_19","harvest",6.53244897959184,"penalty"
"1362",2,"L1","rep_19","harvest",0.01,"penalty"
"1363",3,"L1","rep_19","harvest",0.01,"penalty"
"1364",4,"L1","rep_19","harvest",0.01,"penalty"
"1365",5,"L1","rep_19","harvest",0.01,"penalty"
"1366",6,"L1","rep_19","harvest",2.45591836734694,"penalty"
"1367",7,"L1","rep_19","harvest",0.662244897959184,"penalty"
"1368",8,"L1","rep_19","harvest",0.988367346938776,"penalty"
"1369",9,"L1","rep_19","harvest",0.988367346938776,"penalty"
"1370",10,"L1","rep_19","harvest",0.988367346938776,"penalty"
"1371",11,"L1","rep_19","harvest",0.988367346938776,"penalty"
"1372",12,"L1","rep_19","harvest",0.988367346938776,"penalty"
"1373",13,"L1","rep_19","harvest",0.988367346938776,"penalty"
"1374",14,"L1","rep_19","harvest",1.80367346938776,"penalty"
"1375",15,"L1","rep_19","harvest",1.80367346938776,"penalty"
"1376",16,"L1","rep_19","harvest",1.80367346938776,"penalty"
"1377",17,"L1","rep_19","harvest",1.47755102040816,"penalty"
"1378",18,"L1","rep_19","harvest",0.01,"penalty"
"1379",19,"L1","rep_19","harvest",8,"penalty"
"1380",20,"L1","rep_19","harvest",0,"penalty"
"1381",1,"L1","rep_20","harvest",6.53244897959184,"penalty"
"1382",2,"L1","rep_20","harvest",0.01,"penalty"
"1383",3,"L1","rep_20","harvest",0.01,"penalty"
"1384",4,"L1","rep_20","harvest",5.71714285714286,"penalty"
"1385",5,"L1","rep_20","harvest",0.01,"penalty"
"1386",6,"L1","rep_20","harvest",0.01,"penalty"
"1387",7,"L1","rep_20","harvest",0.01,"penalty"
"1388",8,"L1","rep_20","harvest",0.01,"penalty"
"1389",9,"L1","rep_20","harvest",0.01,"penalty"
"1390",10,"L1","rep_20","harvest",0.01,"penalty"
"1391",11,"L1","rep_20","harvest",0.01,"penalty"
"1392",12,"L1","rep_20","harvest",0.01,"penalty"
"1393",13,"L1","rep_20","harvest",0.01,"penalty"
"1394",14,"L1","rep_20","harvest",0.01,"penalty"
"1395",15,"L1","rep_20","harvest",5.55408163265306,"penalty"
"1396",16,"L1","rep_20","harvest",0.01,"penalty"
"1397",17,"L1","rep_20","harvest",0.01,"penalty"
"1398",18,"L1","rep_20","harvest",0.01,"penalty"
"1399",19,"L1","rep_20","harvest",7.34775510204082,"penalty"
"1400",20,"L1","rep_20","harvest",0,"penalty"
"1401",1,"L2","rep_11","harvest",2.12979591836735,"penalty"
"1402",2,"L2","rep_11","harvest",1.64061224489796,"penalty"
