"","c2","variable","value"
"257",22.6262626262626,"fixed",210.095064604173
"258",23.030303030303,"fixed",208.50592724966
"259",23.4343434343434,"fixed",207.023407255885
"260",23.8383838383838,"fixed",205.549252515474
"261",24.2424242424242,"fixed",204.084517140652
"262",24.6464646464646,"fixed",202.855738992433
"263",25.050505050505,"fixed",201.697452588678
"264",25.4545454545455,"fixed",200.546766081413
"265",25.8585858585859,"fixed",199.484312521042
"266",26.2626262626263,"fixed",198.437755611834
"267",26.6666666666667,"fixed",197.396685192316
"268",27.0707070707071,"fixed",196.360154953676
"269",27.4747474747475,"fixed",195.327638164837
"270",27.8787878787879,"fixed",194.313666066206
"271",28.2828282828283,"fixed",193.306706157169
"272",28.6868686868687,"fixed",192.362686668092
"273",29.0909090909091,"fixed",191.44895081922
"274",29.4949494949495,"fixed",190.541418827215
"275",29.8989898989899,"fixed",189.637718162691
"276",30.3030303030303,"fixed",188.741427296193
"277",30.7070707070707,"fixed",187.85976213902
"278",31.1111111111111,"fixed",186.980222288389
"279",31.5151515151515,"fixed",186.176682785456
"280",31.9191919191919,"fixed",185.395099963717
"281",32.3232323232323,"fixed",184.62802016303
"282",32.7272727272727,"fixed",183.876639301296
"283",33.1313131313131,"fixed",183.129160409875
"284",33.5353535353535,"fixed",182.384784206124
"285",33.9393939393939,"fixed",181.673449708658
"286",34.3434343434343,"fixed",181.023623444047
"287",34.7474747474747,"fixed",180.386472517464
"288",35.1515151515151,"fixed",179.766835146074
"289",35.5555555555556,"fixed",179.157351001315
"290",35.959595959596,"fixed",178.55279655235
"291",36.3636363636364,"fixed",177.99064121384
"292",36.7676767676768,"fixed",177.486844178928
"293",37.1717171717172,"fixed",177.00508089951
"294",37.5757575757576,"fixed",176.537074136427
"295",37.979797979798,"fixed",176.074664902589
"296",38.3838383838384,"fixed",175.626157188188
"297",38.7878787878788,"fixed",175.26390884249
"298",39.1919191919192,"fixed",174.923294691814
"299",39.5959595959596,"fixed",174.594389744882
"300",40,"fixed",174.28938566935
